Country,Release_Year,Genres,Category,Content_Count,Young_Population_Percentage
belgium,2020,independent movies,movie,6,16.791452407836914
belgium,2020,international movies,movie,10,16.791452407836914
belgium,2020,drama,movie,3,16.791452407836914
belgium,2020,adventure,movie,2,16.791452407836914
belgium,2020,thrillers,movie,3,16.791452407836914
belgium,2020,thriller,movie,1,16.791452407836914
belgium,2020,horror,movie,3,16.791452407836914
belgium,2020,children  family movies,movie,3,16.791452407836914
belgium,2020,documentaries,movie,2,16.791452407836914
belgium,2020,comedies,movie,7,16.791452407836914
belgium,2020,tv dramas,tv show,2,16.791452407836914
belgium,2020,international tv shows,tv show,2,16.791452407836914
belgium,2020,tv action  adventure,tv show,1,16.791452407836914
belgium,2020,crime tv shows,tv show,1,16.791452407836914
belgium,2021,fantasy,movie,1,16.679824829101562
belgium,2021,thrillers,movie,1,16.679824829101562
belgium,2021,comedies,movie,2,16.679824829101562
belgium,2021,children  family movies,movie,1,16.679824829101562
belgium,2021,action  adventure,movie,1,16.679824829101562
belgium,2021,dramas,movie,2,16.679824829101562
belgium,2021,international movies,movie,4,16.679824829101562
belgium,2021,documentaries,movie,1,16.679824829101562
belgium,2021,coming of age,movie,1,16.679824829101562
belgium,2021,crime tv shows,tv show,2,16.679824829101562
belgium,2021,tv action  adventure,tv show,1,16.679824829101562
belgium,2021,kids tv,tv show,1,16.679824829101562
belgium,2021,tv dramas,tv show,1,16.679824829101562
belgium,2021,international tv shows,tv show,3,16.679824829101562
belgium,2021,tv mysteries,tv show,1,16.679824829101562
belgium,2021,docuseries,tv show,1,16.679824829101562
brazil,2016,dramas,movie,1,21.913623809814453
brazil,2016,international movies,movie,1,21.913623809814453
brazil,2016,docuseries,tv show,1,21.913623809814453
brazil,2016,science  nature tv,tv show,1,21.913623809814453
brazil,2016,international tv shows,tv show,1,21.913623809814453
brazil,2017,lgbtq movies,movie,1,21.60458755493164
brazil,2017,sports movies,movie,1,21.60458755493164
brazil,2017,action  adventure,movie,3,21.60458755493164
brazil,2017,children  family movies,movie,1,21.60458755493164
brazil,2017,comedies,movie,4,21.60458755493164
brazil,2017,international movies,movie,11,21.60458755493164
brazil,2017,independent movies,movie,3,21.60458755493164
brazil,2017,romantic movies,movie,1,21.60458755493164
brazil,2017,documentaries,movie,2,21.60458755493164
brazil,2017,dramas,movie,8,21.60458755493164
brazil,2017,standup comedy,movie,2,21.60458755493164
brazil,2018,dramas,movie,5,21.347002029418945
brazil,2018,sports movies,movie,1,21.347002029418945
brazil,2018,documentaries,movie,4,21.347002029418945
brazil,2018,drama,movie,1,21.347002029418945
brazil,2018,thrillers,movie,1,21.347002029418945
brazil,2018,lgbtq movies,movie,1,21.347002029418945
brazil,2018,children  family movies,movie,1,21.347002029418945
brazil,2018,faith  spirituality,movie,2,21.347002029418945
brazil,2018,comedies,movie,3,21.347002029418945
brazil,2018,international movies,movie,9,21.347002029418945
brazil,2018,independent movies,movie,2,21.347002029418945
brazil,2018,standup comedy,movie,2,21.347002029418945
brazil,2018,crime tv shows,tv show,1,21.347002029418945
brazil,2018,reality tv,tv show,2,21.347002029418945
brazil,2018,tv comedies,tv show,2,21.347002029418945
brazil,2018,docuseries,tv show,1,21.347002029418945
brazil,2018,tv dramas,tv show,1,21.347002029418945
brazil,2018,international tv shows,tv show,4,21.347002029418945
brazil,2019,children  family movies,movie,3,21.104328155517578
brazil,2019,thrillers,movie,1,21.104328155517578
brazil,2019,international movies,movie,7,21.104328155517578
brazil,2019,independent movies,movie,3,21.104328155517578
brazil,2019,music  musicals,movie,1,21.104328155517578
brazil,2019,dramas,movie,5,21.104328155517578
brazil,2019,faith  spirituality,movie,2,21.104328155517578
brazil,2019,comedies,movie,5,21.104328155517578
brazil,2019,standup comedy,movie,2,21.104328155517578
brazil,2019,documentaries,movie,3,21.104328155517578
brazil,2019,tv mysteries,tv show,1,21.104328155517578
brazil,2019,crime tv shows,tv show,3,21.104328155517578
brazil,2019,standup comedy  talk shows,tv show,1,21.104328155517578
brazil,2019,tv dramas,tv show,5,21.104328155517578
brazil,2019,international tv shows,tv show,7,21.104328155517578
brazil,2019,kids tv,tv show,2,21.104328155517578
brazil,2019,tv comedies,tv show,4,21.104328155517578
brazil,2020,documentaries,movie,2,20.866546630859375
brazil,2020,lgbtq movies,movie,1,20.866546630859375
