Country,Country_ID,Release_Year,Young_Population_Percentage
hungary,14,2001,16.45198631286621
hungary,14,2002,16.21189308166504
hungary,14,2003,15.991848945617676
hungary,14,2004,15.760214805603027
hungary,14,2005,15.530505180358887
hungary,14,2006,15.306242942810059
hungary,14,2007,15.108010292053223
hungary,14,2008,14.94996166229248
hungary,14,2009,14.813751220703125
hungary,14,2010,14.67029094696045
hungary,14,2011,14.547410011291504
hungary,14,2012,14.4710111618042
hungary,14,2013,14.43779468536377
hungary,14,2014,14.458074569702148
hungary,14,2015,14.485577583312988
hungary,14,2016,14.50636100769043
hungary,14,2017,14.532024383544922
hungary,14,2018,14.544713020324707
hungary,14,2019,14.54835033416748
hungary,14,2020,14.556540489196777
hungary,14,2021,14.559408187866211
hungary,14,2022,14.630841255187988
iceland,78,1950,30.6203556060791
iceland,78,1951,31.102277755737305
iceland,78,1952,31.64954376220703
iceland,78,1953,32.22042465209961
iceland,78,1954,32.765506744384766
iceland,78,1955,33.31283950805664
iceland,78,1956,33.86717224121094
iceland,78,1957,34.254032135009766
iceland,78,1958,34.474449157714844
iceland,78,1959,34.70261001586914
iceland,78,1960,34.88292694091797
iceland,78,1961,34.95375061035156
iceland,78,1962,34.93880844116211
iceland,78,1963,34.85520935058594
iceland,78,1964,34.72428894042969
iceland,78,1965,34.5143928527832
iceland,78,1966,34.27196502685547
iceland,78,1967,34.02748107910156
iceland,78,1968,33.64236831665039
iceland,78,1969,33.14598846435547
iceland,78,1970,32.62700653076172
iceland,78,1971,32.091373443603516
iceland,78,1972,31.598426818847656
iceland,78,1973,31.172874450683594
iceland,78,1974,30.66782569885254
iceland,78,1975,30.060007095336914
iceland,78,1976,29.512470245361328
iceland,78,1977,28.964252471923828
iceland,78,1978,28.370695114135742
iceland,78,1979,27.881488800048828
iceland,78,1980,27.51026725769043
iceland,78,1981,27.156705856323242
iceland,78,1982,26.854248046875
iceland,78,1983,26.659238815307617
iceland,78,1984,26.457374572753906
iceland,78,1985,26.199106216430664
iceland,78,1986,25.906400680541992
iceland,78,1987,25.54827117919922
iceland,78,1988,25.221235275268555
iceland,78,1989,25.04676628112793
iceland,78,1990,24.948984146118164
iceland,78,1991,24.825927734375
iceland,78,1992,24.807222366333008
iceland,78,1993,24.84662437438965
iceland,78,1994,24.707447052001953
iceland,78,1995,24.420581817626953
iceland,78,1996,24.135610580444336
iceland,78,1997,23.859033584594727
iceland,78,1998,23.58702278137207
iceland,78,1999,23.394643783569336
iceland,78,2000,23.282716751098633
iceland,78,2001,23.178579330444336
iceland,78,2002,23.02167510986328
iceland,78,2003,22.776853561401367
iceland,78,2004,22.47763442993164
iceland,78,2005,22.056791305541992
iceland,78,2006,21.531417846679688
iceland,78,2007,21.094980239868164
iceland,78,2008,20.882219314575195
iceland,78,2009,20.891300201416016
iceland,78,2010,20.923206329345703
iceland,78,2011,20.826868057250977
iceland,78,2012,20.69605255126953
iceland,78,2013,20.582958221435547
iceland,78,2014,20.43625259399414
iceland,78,2015,20.183908462524414
iceland,78,2016,19.877771377563477
iceland,78,2017,19.542863845825195
iceland,78,2018,19.16806983947754
iceland,78,2019,18.864648818969727
iceland,78,2020,18.721176147460938
iceland,78,2021,18.62918472290039
iceland,78,2022,18.36415672302246
india,34,1950,37.914310455322266
india,34,1951,38.05934524536133
india,34,1952,38.21833038330078
india,34,1953,38.41318130493164
india,34,1954,38.65813064575195
india,34,1955,38.9448356628418
india,34,1956,39.25558090209961
india,34,1957,39.57990646362305
india,34,1958,39.911773681640625
india,34,1959,40.22840118408203
india,34,1960,40.5206413269043
